Group,Algorithm,Time,Iter,SuboptRes,InfeasRes
Reference,MOSEK/CVX,3.243581875,NaN,0,0
EGM,EGM,1.662583037,21317,2.15890937674088e-09,9.99859722239371e-09
Monotone,APDB-yx,7.075482958,43520,2.1585208997576e-09,9.99953442826218e-09
Monotone,rAPDB-yx-ada,0.931909490999999,4142,2.14662337811629e-09,9.94296439627007e-09
Monotone,rAPDB-yx,0.683827004,4238,2.15313024929233e-09,9.97423937887376e-09
Monotone,APDB-xy,5.70104756000002,50000,3.01194456130413e-09,1.31116414447963e-08
Monotone,rAPDB-xy-ada,0.874492703000001,6654,2.19011511531367e-09,9.99698083203882e-09
Monotone,rAPDB-xy,1.11432843099999,7741,2.18746657529629e-09,9.98530660378805e-09
Nonmonotone,APDB-yx,0.346215587,1211,2.1975737196106e-09,9.75050442053593e-09
Nonmonotone,rAPDB-yx-ada,0.380793904,1235,2.22878448567175e-09,9.83694884437725e-09
Nonmonotone,rAPDB-yx,0.341419621,1236,2.22931935128682e-09,9.98754630110454e-09
Nonmonotone,APDB-xy,0.30184559,1216,2.24894134263917e-09,9.78545311447476e-09
Nonmonotone,rAPDB-xy-ada,0.519029200000001,2113,2.16156726197193e-09,9.95682334359316e-09
Nonmonotone,rAPDB-xy,0.46535612,2091,2.16982943635028e-09,9.99431888915048e-09
