Group,Algorithm,Time_cpu,Iter_cpu,SuboptRes_cpu,InfeasRes_cpu,Time_gpu,Iter_gpu,SuboptRes_gpu,InfeasRes_gpu,Time_abs_diff,Time_rel_diff,Iter_abs_diff,Iter_rel_diff,SuboptRes_abs_diff,SuboptRes_rel_diff,InfeasRes_abs_diff,InfeasRes_rel_diff
EGM,EGM,389.78013192955405,44391.75,3.188188933391922e-08,9.997951140316984e-08,118.1971660226991,44391.75,3.188188940475703e-08,9.997951143092543e-08,271.58296590685495,0.6967593873048892,0.0,0.0,7.083780874768547e-17,2.221882391710478e-09,2.7755588850518714e-17,2.776127671881926e-10
Monotone,APDB-xy,718.8733746527723,50000.0,0.005998300904900801,0.0036320307187541756,136.39104770134145,50000.0,0.005998300904900641,0.003632030718754231,582.4823269514309,0.8102711096133994,0.0,0.0,1.5959455978986625e-16,2.6606627830136e-14,5.551115123125783e-17,1.5283778010087206e-14
Monotone,APDB-yx,567.5566256825405,34946.75,3.1945803988706315e-08,9.994729394946499e-08,132.76208864399814,34946.75,3.1945804019203955e-08,9.994729391893387e-08,434.79453703854233,0.7660813342028397,0.0,0.0,3.04976396415728e-17,9.546680858897058e-10,3.0531117295324044e-17,3.054721749666766e-10
Monotone,rAPDB-xy,300.660136054692,20686.0,3.168623379073905e-08,9.919005723724172e-08,58.12872981266992,20686.0,3.1686233884412764e-08,9.919005720393504e-08,242.53140624202206,0.8066629963804183,0.0,0.0,9.3673711126543e-17,2.956290465113339e-09,3.3306685444798776e-17,3.357865328332007e-10
Monotone,rAPDB-xy-ada,428.2053740932897,28404.5,3.1712327568904817e-08,9.933772026349263e-08,96.45209766166226,28404.5,3.171232740758046e-08,9.933772021630816e-08,331.75327643162746,0.7747527156428238,0.0,0.0,1.6132435326939224e-16,5.087118011446921e-09,4.718447325261323e-17,4.749904978688628e-10
Monotone,rAPDB-yx,76.31915752495115,4609.25,3.16991357801078e-08,9.825821873366002e-08,18.065634351063636,4609.25,3.169913574955415e-08,9.825821882247787e-08,58.253523173887515,0.7632883415260787,0.0,0.0,3.055364969520999e-17,9.638638040724434e-10,8.88178499109464e-17,9.039228571943169e-10
Monotone,rAPDB-yx-ada,174.85257205386006,10318.5,3.1852093414013194e-08,9.85159799044011e-08,46.386874412492034,10318.5,3.185209334524415e-08,9.85159799293811e-08,128.46569764136802,0.734708652737442,0.0,0.0,6.876904327058014e-17,2.1590117221125665e-09,2.498000746615418e-17,2.5356300028724506e-10
Nonmonotone,APDB-xy,92.07821002995479,3026.25,3.134642446682345e-08,9.794997181122867e-08,17.718262995229452,3026.25,3.134642449708417e-08,9.794997182788201e-08,74.35994703472534,0.8075737681101167,0.0,0.0,3.026071526180291e-17,9.653641740637417e-10,1.6653342722399388e-17,1.7001886164390317e-10
Nonmonotone,APDB-yx,25.235962218866916,870.5,3.221212124571538e-08,9.870445985271646e-08,6.024506655870937,870.5,3.2212121337320316e-08,9.870445988324761e-08,19.21145556299598,0.7612729562827252,0.0,0.0,9.160493903199277e-17,2.8438033636110525e-09,3.0531143765103646e-17,3.093187864026543e-10
Nonmonotone,rAPDB-xy,92.4174562861881,3008.25,3.123146263813887e-08,9.800969097695235e-08,17.91220974290627,3008.25,3.123146273508426e-08,9.800969106854574e-08,74.50524654328183,0.8061815325511911,0.0,0.0,9.694538912020253e-17,3.1040937766201996e-09,9.159339159064153e-17,9.345340300963397e-10
Nonmonotone,rAPDB-xy-ada,95.07498279715946,3039.75,3.1441660860625e-08,9.82692766521298e-08,19.94308163531241,3039.75,3.144166073306996e-08,9.826927664935425e-08,75.13190116184705,0.7902383881797742,0.0,0.0,1.275550422516048e-16,4.0568798961144085e-09,2.775554914584931e-18,2.824438121780291e-11
Nonmonotone,rAPDB-yx,25.88817588922393,873.25,3.1544884495675804e-08,9.626309787069688e-08,6.265324951949879,873.25,3.154488437024555e-08,9.626309776522567e-08,19.622850937274052,0.7579850747785652,0.0,0.0,1.254302534859725e-16,3.976247023682774e-09,1.0547120586823559e-16,1.095655636392896e-09
Nonmonotone,rAPDB-yx-ada,27.35777752099966,876.5,3.1798820406231166e-08,9.727144053561788e-08,7.793339270850993,876.5,3.179882035057633e-08,9.727144056892456e-08,19.56443825014867,0.7151325883519276,0.0,0.0,5.565483581238074e-17,1.7502169868682659e-09,3.3306685444798776e-17,3.4240970656090883e-10
Reference,MOSEK/CVX,17.08681130449986,,0.0,0.0,17.08681130449986,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
