Group,Algorithm,Time,Iter,SuboptRes,InfeasRes,GxiTime
Reference,MOSEK/CVX,17.08681130449986,,0.0,0.0,
EGM,EGM,389.78013192955405,44391.75,3.188188933391922e-08,9.997951140316984e-08,
Monotone,APDB-yx,567.5566256825405,34946.75,3.1945803988706315e-08,9.994729394946499e-08,
Monotone,rAPDB-yx-ada,174.85257205386006,10318.5,3.1852093414013194e-08,9.85159799044011e-08,6.450701795896748
Monotone,rAPDB-yx,76.31915752495115,4609.25,3.16991357801078e-08,9.825821873366002e-08,
Monotone,APDB-xy,718.8733746527723,50000.0,0.005998300904900801,0.0036320307187541756,
Monotone,rAPDB-xy-ada,428.2053740932897,28404.5,3.1712327568904817e-08,9.933772026349263e-08,17.460781389090698
Monotone,rAPDB-xy,300.660136054692,20686.0,3.168623379073905e-08,9.919005723724172e-08,
Nonmonotone,APDB-yx,25.235962218866916,870.5,3.221212124571538e-08,9.870445985271646e-08,
Nonmonotone,rAPDB-yx-ada,27.35777752099966,876.5,3.1798820406231166e-08,9.727144053561788e-08,1.5015944817860145
Nonmonotone,rAPDB-yx,25.88817588922393,873.25,3.1544884495675804e-08,9.626309787069688e-08,
Nonmonotone,APDB-xy,92.07821002995479,3026.25,3.134642446682345e-08,9.794997181122867e-08,
Nonmonotone,rAPDB-xy-ada,95.07498279715946,3039.75,3.1441660860625e-08,9.82692766521298e-08,2.1186447657673853
Nonmonotone,rAPDB-xy,92.4174562861881,3008.25,3.123146263813887e-08,9.800969097695235e-08,
