Group,Algorithm,Time,Iter,SuboptRes,InfeasRes,GxiTime
Reference,MOSEK/CVX,17.08681130449986,,0.0,0.0,
EGM,EGM,118.1971660226991,44391.75,3.188188940475703e-08,9.997951143092543e-08,
Monotone,APDB-yx,132.76208864399814,34946.75,3.1945804019203955e-08,9.994729391893387e-08,
Monotone,rAPDB-yx-ada,46.386874412492034,10318.5,3.185209334524415e-08,9.85159799293811e-08,6.53816496199579
Monotone,rAPDB-yx,18.065634351063636,4609.25,3.169913574955415e-08,9.825821882247787e-08,
Monotone,APDB-xy,136.39104770134145,50000.0,0.005998300904900641,0.003632030718754231,
Monotone,rAPDB-xy-ada,96.45209766166226,28404.5,3.171232740758046e-08,9.933772021630816e-08,17.64680852141464
Monotone,rAPDB-xy,58.12872981266992,20686.0,3.1686233884412764e-08,9.919005720393504e-08,
Nonmonotone,APDB-yx,6.024506655870937,870.5,3.2212121337320316e-08,9.870445988324761e-08,
Nonmonotone,rAPDB-yx-ada,7.793339270850993,876.5,3.179882035057633e-08,9.727144056892456e-08,1.6106215577601688
Nonmonotone,rAPDB-yx,6.265324951949879,873.25,3.154488437024555e-08,9.626309776522567e-08,
Nonmonotone,APDB-xy,17.718262995229452,3026.25,3.134642449708417e-08,9.794997182788201e-08,
Nonmonotone,rAPDB-xy-ada,19.94308163531241,3039.75,3.144166073306996e-08,9.826927664935425e-08,2.1426790245022858
Nonmonotone,rAPDB-xy,17.91220974290627,3008.25,3.123146273508426e-08,9.800969106854574e-08,
